Sl.No.	Name		DOB	  Blood		Gender		Height		Mobile No.  	Salary
1	Tejaswini	31-12-2004   A+    	F       	5.5     	1234567889  	20000
2	Poorvika	07-12-2004   o+    	F       	5.8     	9876123654  	15000
3	Swapna		13-11-2004   o-    	F       	5.4     	9871654321  	23000
4	Aparna		20-10-2004   B-    	F       	5.6     	6360292892  	10000
5	Yashu		26-09-2004   o+    	F       	5       	9036897879  	12000
6	Shreelekha	03-09-2004   B+    	F       	5.8     	9098745673  	23000
7	Shwtha		02-09-2004   B-    	F       	5.4     	9678903678  	24000
8	Ashwetha	09-08-2004   B-    	F       	5.9     	8903756908  	16000
9	Shekar		16-07-2004   A+    	M       	5.2     	5679037589  	12000
10	Ashrith		22-06-2004   A+    	M       	5.9     	8904567890  	13000
